brand,Product_Count,Avg_Rating,Avg_Reviews,Avg_Price,Market_Share_%,Category
LOVEY DOVEY,19,2.76,69.84,716.84,7.9,Market Leader
Storescent,14,4.1,1740.0,501.5,5.8,Market Leader
BACK BANCHERS,13,2.89,18.38,695.54,5.4,Market Leader
ADORA,10,2.66,533.6,523.5,4.2,Market Leader
HUG 'n' FEEL SOFT TOYS,10,3.09,40.3,799.4,4.2,Market Leader
AVSHUB,9,4.09,121.56,593.33,3.8,Standard
VIH-AAN,8,0.0,0.0,488.0,3.3,Standard
Babique,7,4.03,563.57,283.29,2.9,Standard
SHAPZE,7,3.34,6.86,919.0,2.9,Standard
Amazon Brand,6,2.93,9222.0,615.33,2.5,Standard
AVS,6,3.48,142.83,751.0,2.5,Standard
Vaishno,6,3.23,7.83,682.33,2.5,Standard
HOMECUTE,6,0.0,0.0,449.0,2.5,Standard
Ultra,6,2.98,80.83,528.67,2.5,Standard
KIZDY,5,3.44,14.0,629.0,2.1,Standard
KEKEMI,5,0.76,12.0,279.0,2.1,Standard
Tickles,5,3.76,326.2,544.4,2.1,Standard
BABY FOREST,4,0.0,0.0,1290.0,1.7,Standard
BEST4U TOYS,4,4.2,5.0,1799.0,1.7,Untapped Potential
Krow,4,4.25,15.0,681.75,1.7,Untapped Potential
TechMax,3,3.8,27.67,765.33,1.2,Standard
Madhubala,3,1.0,0.67,357.67,1.2,Standard
Storio,3,4.2,2090.0,304.67,1.2,Untapped Potential
RVA,3,3.6,8.67,523.0,1.2,Standard
CozyHug,3,0.0,0.0,1799.0,1.2,Standard
SUPER TOY,2,4.5,19.0,569.0,0.8,Quality Leader
Fusked Flufies,2,4.0,380.0,574.0,0.8,Untapped Potential
BLOOM PLEX,2,0.5,0.5,289.0,0.8,Standard
Asmita Enterprise,2,2.5,1.0,939.0,0.8,Standard
CLICK4DEAL,2,1.6,1.0,774.0,0.8,Standard
WILD REPUBLIC,2,4.65,6756.0,840.0,0.8,Quality Leader
VEDA,2,3.9,24.0,674.0,0.8,Standard
VOIDROP,2,0.5,0.5,449.0,0.8,Standard
Ty,2,3.85,122.0,861.5,0.8,Standard
CloudPeak,2,0.0,0.0,383.0,0.8,Standard
Crispy Toys,2,4.35,8.5,524.0,0.8,Untapped Potential
Panda's Box,2,4.4,512.0,888.5,0.8,Untapped Potential
TOMTEDDY,2,4.6,4.0,299.0,0.8,Quality Leader
BEMOX,1,0.0,0.0,751.0,0.4,Standard
Aldea,1,0.0,0.0,999.0,0.4,Standard
Actino,1,3.8,2.0,460.0,0.4,Standard
4AJ BAZAAR,1,0.0,0.0,399.0,0.4,Standard
Avocado Soft,1,4.5,8.0,414.0,0.4,Quality Leader
CHANT HARI,1,0.0,0.0,449.0,0.4,Standard
CHIRKUT,1,3.9,29.0,269.0,0.4,Standard
LITTLE GINNIE,1,4.8,5.0,499.0,0.4,Quality Leader
Galaxy world,1,4.1,70.0,999.0,0.4,Untapped Potential
Cuddles,1,0.0,0.0,336.0,0.4,Standard
FUNPLANET,1,0.0,0.0,499.0,0.4,Standard
Enchanted Threads,1,0.0,0.0,1200.0,0.4,Standard
DISHIV,1,0.0,0.0,549.0,0.4,Standard
Plush,1,0.0,0.0,249.0,0.4,Standard
Pegasos,1,0.0,0.0,557.0,0.4,Standard
Pandaworld,1,3.6,32.0,699.0,0.4,Standard
PH Artistic,1,4.0,1.0,650.0,0.4,Untapped Potential
NOH Creations,1,4.1,21.0,299.0,0.4,Untapped Potential
Nexivntra,1,0.0,0.0,399.0,0.4,Standard
NISHAD CREATIONS,1,0.0,0.0,799.0,0.4,Standard
NESTA TOYS,1,0.0,0.0,2799.0,0.4,Standard
LoopHoop,1,0.0,0.0,1050.0,0.4,Standard
Mashes,1,3.1,6.0,599.0,0.4,Standard
Masha and the Bear,1,4.2,290.0,1859.0,0.4,Untapped Potential
MRS.AJ,1,0.0,0.0,649.0,0.4,Standard
MA Toys,1,3.3,32.0,399.0,0.4,Standard
Green Turtle Soft Plush Toy,1,0.0,0.0,299.0,0.4,Standard
Hapsters,1,4.3,71.0,699.0,0.4,Untapped Potential
Plush Bow Elephant Soft,1,4.0,18.0,1299.0,0.4,Untapped Potential
Soft Toys Pack,1,0.0,0.0,899.0,0.4,Standard
SUNNFUN,1,0.0,0.0,687.0,0.4,Standard
SWARAH COLLECTIONS,1,0.0,0.0,379.0,0.4,Standard
SnuggyBuggy,1,0.0,0.0,549.0,0.4,Standard
QTM,1,5.0,1.0,275.0,0.4,Quality Leader
Primo Cleats,1,5.0,1.0,587.0,0.4,Quality Leader
SADAR DEAL,1,3.8,14.0,1650.0,0.4,Standard
SOPTOOL,1,0.0,0.0,629.0,0.4,Standard
Plush Unicorn Stuffed,1,0.0,0.0,299.0,0.4,Standard
Toyshine,1,0.0,0.0,399.0,0.4,Standard
TOYTALES,1,3.0,7.0,209.0,0.4,Standard
Thrive Toys,1,4.3,4.0,799.0,0.4,Untapped Potential
Tinytotem,1,4.1,148.0,299.0,0.4,Untapped Potential
VARUSH,1,5.0,1.0,399.0,0.4,Quality Leader
Webby,1,4.5,1012.0,999.0,0.4,Quality Leader
odinbirds,1,4.2,737.0,498.0,0.4,Untapped Potential
